VP	TO	 ID obj.	ITyp	STyp	S	Zaèátek	Konec	VarPole	ÈZá	H	Var.pole uživatel.dat
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033535			T 30033535                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033536			T 30033536                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033537			T 30033537                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033538			T 30033538                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033539			T 30033539                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033540			T 30033540                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30036833			T 30036833                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30036834			T 30036834                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30036835			T 30036835                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30036838			T 30036838                                     900200350000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30036839			T 30036839                                     #900200350000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000352			T 30000352                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000353			T 30000353                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000354			T 30000354                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000355			T 30000355                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000356			T 30000356                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000357			T 30000357                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000358			T 30000358                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000359			T 30000359                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000360			T 30000360                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000361			T 30000361                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000362			T 30000362                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000363			T 30000363                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000364			T 30000364                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000365			T 30000365                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000366			T 30000366                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000367			T 30000367                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000368			T 30000368                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000370			T 30000370                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30000389			T 30000389                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30001615			T 30001615                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30001653			T 30001653                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30002349			T 30002349                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30011390			T 30011390                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30012848			T 30012848                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30019787			T 30019787                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30028088			T 30028088                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30040705			T 30040705                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.03.2015	31.03.2020	T 30040706			T 30040706                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000353			T 30000353                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000356			T 30000356                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000358			T 30000358                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000359			T 30000359                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000362			T 30000362                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000364			T 30000364                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000365			T 30000365                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000367			T 30000367                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000368			T 30000368                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000369			T 30000369                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30000370			T 30000370                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30001615			T 30001615                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30001653			T 30001653                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30008933			T 30008933                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30011390			T 30011390                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30012848			T 30012848                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30014226			T 30014226                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30019787			T 30019787                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30020182			T 30020182                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30023391			T 30023391                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30026731			T 30026731                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30027420			T 30027420                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30038346			T 30038346                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30038348			T 30038348                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30038375			T 30038375                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30038376			T 30038376                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30038377			T 30038377                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30040705			T 30040705                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30041376			T 30041376                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.04.2020	30.06.2021	T 30042068			T 30042068                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000353			T 30000353                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000356			T 30000356                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000358			T 30000358                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000359			T 30000359                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000362			T 30000362                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000364			T 30000364                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000365			T 30000365                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000367			T 30000367                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000368			T 30000368                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000369			T 30000369                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30000370			T 30000370                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30001615			T 30001615                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30001653			T 30001653                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30008933			T 30008933                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30011390			T 30011390                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30012848			T 30012848                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30014226			T 30014226                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30019787			T 30019787                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30020182			T 30020182                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30023391			T 30023391                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30026731			T 30026731                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30027420			T 30027420                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30038346			T 30038346                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30038348			T 30038348                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30038375			T 30038375                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30038376			T 30038376                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30038377			T 30038377                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30040705			T 30040705                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30041376			T 30041376                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000504	1001	B007	1	01.07.2021	31.05.2024	T 30042068			T 30042068                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30000774			T 30000774                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30008859			T 30008859                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30034282			T 30034282                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30036325			T 30036325                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30046917			T 30046917                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048554			T 30048554                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048616			T 30048616                                     900266500000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048617			T 30048617                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048619			T 30048619                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048620			T 30048620                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048621			T 30048621                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048622			T 30048622                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048623			T 30048623                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048624			T 30048624                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048750			T 30048750                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048751			T 30048751                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048752			T 30048752                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30048753			T 30048753                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30063878			T 30063878                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30067983			T 30067983                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30067984			T 30067984                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000538	1001	B007	1	01.11.2021	30.11.2023	T 30069525			T 30069525                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30003741			T 30003741                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30007909			T 30007909                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30009977			T 30009977                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30010083			T 30010083                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30010086			T 30010086                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30010094			T 30010094                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30013139			T 30013139                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30024968			T 30024968                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027389			T 30027389                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027390			T 30027390                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027391			T 30027391                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027392			T 30027392                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027396			T 30027396                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027397			T 30027397                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027398			T 30027398                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027451			T 30027451                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027479			T 30027479                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027480			T 30027480                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000541	1001	B007	1	01.12.2012	30.11.2023	T 30027482			T 30027482                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000373			T 30000373                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000376			T 30000376                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000382			T 30000382                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000761			T 30000761                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000818			T 30000818                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000819			T 30000819                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000820			T 30000820                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000821			T 30000821                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000822			T 30000822                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000823			T 30000823                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000824			T 30000824                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000825			T 30000825                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000827			T 30000827                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000828			T 30000828                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000829			T 30000829                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30000830			T 30000830                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30014613			T 30014613                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30020654			T 30020654                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30026065			T 30026065                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30042605			T 30042605                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30045127			T 30045127                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30045343			T 30045343                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000546	1001	B007	1	01.06.2019	31.12.2021	T 30059202			T 30059202                                     #000000000000000000000000000000000000000000000000000000000000000000000000VARC
