ID_objektu_(PK),Osobni_cislo,Kod_kvalifikace,Datum_ziskani,Datum_ukonceni,personel_number
82,PN-000006,COMP-MKT-707,2020-10-25,2023-01-20,PN-000006
83,PN-000047,COMP-AI-404,2022-12-08,2024-06-10,PN-000047
84,PN-000057,COMP-LAW-010,2023-08-24,2025-10-17,PN-000057
85,PN-000037,COMP-HR-808,2023-04-19,2024-12-31,PN-000037
86,PN-000030,COMP-ENG-909,2020-08-01,2024-02-07,PN-000030
87,PN-000031,COMP-SEC-505,2022-08-06,2022-11-26,PN-000031
88,PN-000061,COMP-AI-404,2024-08-04,2024-11-22,PN-000061
89,PN-000048,COMP-LAW-010,2020-09-29,2024-11-20,PN-000048
90,PN-000057,COMP-HR-808,2019-10-07,2020-01-18,PN-000057
91,PN-000099,COMP-SEC-505,2024-10-13,2025-06-15,PN-000099
92,PN-000100,COMP-MKT-707,2023-06-29,2024-07-31,PN-000100
93,PN-000065,COMP-ENG-909,2024-03-13,2025-03-02,PN-000065
94,PN-000054,COMP-DS-303,2023-03-11,2024-03-22,PN-000054
95,PN-000026,COMP-LAW-010,2021-04-12,2021-12-16,PN-000026
96,PN-000018,COMP-SEC-505,2023-01-03,2025-07-29,PN-000018
97,PN-000007,COMP-HR-808,2024-01-17,2025-09-03,PN-000007
98,PN-000048,COMP-ENG-909,2023-07-21,2024-01-23,PN-000048
99,PN-000014,COMP-ENG-909,2023-09-15,2025-03-21,PN-000014
100,PN-000016,COMP-SEC-505,2021-09-01,2024-01-07,PN-000016
101,PN-000011,COMP-DS-303,2024-05-21,2024-07-26,PN-000011
102,PN-000035,COMP-HR-808,2019-09-07,2022-07-25,PN-000035
103,PN-000066,COMP-DS-303,2022-01-25,2024-03-14,PN-000066
104,PN-000056,COMP-PM-202,2020-10-14,2024-08-20,PN-000056
105,PN-000029,COMP-HR-808,2021-07-15,2025-01-29,PN-000029
106,PN-000045,COMP-CS-101,2024-03-26,2024-12-08,PN-000045
107,PN-000054,COMP-CS-101,2024-04-27,2025-01-06,PN-000054
108,PN-000051,COMP-ENG-909,2019-11-02,2025-01-17,PN-000051
109,PN-000048,COMP-AI-404,2021-08-01,2024-10-25,PN-000048
110,PN-000050,COMP-PM-202,2023-12-03,2024-06-18,PN-000050
111,PN-000048,COMP-AI-404,2023-07-19,2024-09-04,PN-000048
112,PN-000004,COMP-FIN-606,2020-04-26,2022-10-07,PN-000004
113,PN-000013,COMP-FIN-606,2023-03-01,2023-10-20,PN-000013
114,PN-000019,COMP-DS-303,2020-11-23,2025-05-08,PN-000019
115,PN-000005,COMP-SEC-505,2019-05-14,2020-05-07,PN-000005
116,PN-000061,COMP-DS-303,2021-03-07,2021-11-24,PN-000061
117,PN-000098,COMP-HR-808,2020-03-01,2022-07-15,PN-000098
118,PN-000058,COMP-LAW-010,2020-11-12,2023-03-16,PN-000058
119,PN-000001,COMP-PM-202,2019-04-04,2024-10-10,PN-000001
120,PN-000003,COMP-SEC-505,2021-03-21,2024-10-22,PN-000003
121,PN-000028,COMP-DS-303,2024-07-22,2024-07-31,PN-000028
122,PN-000071,COMP-LAW-010,2024-03-01,2025-02-25,PN-000071
123,PN-000068,COMP-MKT-707,2021-09-29,2025-08-24,PN-000068
124,PN-000015,COMP-SEC-505,2020-09-03,2022-09-15,PN-000015
125,PN-000031,COMP-SEC-505,2024-03-25,2025-08-11,PN-000031
126,PN-000016,COMP-CS-101,2022-02-10,2024-11-18,PN-000016
127,PN-000031,COMP-MKT-707,2023-09-06,2025-08-28,PN-000031
128,PN-000082,COMP-LAW-010,2021-10-23,2022-12-03,PN-000082
129,PN-000059,COMP-PM-202,2021-10-18,2023-05-21,PN-000059
130,PN-000015,COMP-HR-808,2022-11-23,2025-04-12,PN-000015
131,PN-000077,COMP-ENG-909,2023-03-24,2025-06-17,PN-000077
132,PN-000003,COMP-ENG-909,2024-05-25,2025-11-08,PN-000003
133,PN-000074,COMP-AI-404,2022-02-01,2025-07-12,PN-000074
134,PN-000092,COMP-DS-303,2022-06-07,2024-09-20,PN-000092
135,PN-000038,COMP-MKT-707,2019-05-21,2022-03-03,PN-000038
136,PN-000001,COMP-LAW-010,2024-01-31,2024-05-29,PN-000001
137,PN-000046,COMP-AI-404,2020-06-11,2022-03-23,PN-000046
138,PN-000074,COMP-MKT-707,2021-08-11,2023-01-19,PN-000074
139,PN-000024,COMP-PM-202,2024-02-28,2024-08-21,PN-000024
140,PN-000068,COMP-FIN-606,2024-08-03,2025-02-18,PN-000068
141,PN-000009,COMP-ENG-909,2023-11-22,2024-10-29,PN-000009
142,PN-000070,COMP-ENG-909,2023-05-18,2023-07-04,PN-000070
143,PN-000065,COMP-ENG-909,2024-08-04,2024-11-17,PN-000065
144,PN-000003,COMP-MKT-707,2019-04-18,2025-08-08,PN-000003
145,PN-000061,COMP-CS-101,2019-02-15,2019-05-02,PN-000061
146,PN-000082,COMP-MKT-707,2020-05-13,2024-12-29,PN-000082
147,PN-000048,COMP-SEC-505,2022-08-11,2023-05-23,PN-000048
148,PN-000096,COMP-CS-101,2021-09-21,2022-03-13,PN-000096
149,PN-000046,COMP-PM-202,2024-07-26,2025-03-06,PN-000046
150,PN-000045,COMP-AI-404,2020-06-02,2022-06-08,PN-000045
151,PN-000094,COMP-PM-202,2022-07-08,2025-10-05,PN-000094
152,PN-000099,COMP-LAW-010,2023-03-11,2025-04-14,PN-000099
153,PN-000095,COMP-FIN-606,2019-11-12,2021-09-25,PN-000095
154,PN-000018,COMP-CS-101,2022-05-09,2025-08-19,PN-000018
155,PN-000046,COMP-ENG-909,2022-05-03,2025-07-22,PN-000046
156,PN-000044,COMP-DS-303,2021-02-18,2025-08-09,PN-000044
157,PN-000100,COMP-HR-808,2020-01-27,2023-07-07,PN-000100
158,PN-000090,COMP-HR-808,2023-11-12,2024-05-09,PN-000090
159,PN-000081,COMP-DS-303,2023-01-24,2023-11-30,PN-000081
160,PN-000018,COMP-PM-202,2022-12-27,2025-04-27,PN-000018
161,PN-000092,COMP-HR-808,2023-08-29,2024-12-01,PN-000092
162,PN-000005,COMP-SEC-505,2019-02-16,2022-09-22,PN-000005
163,PN-000026,COMP-CS-101,2022-11-07,2023-01-22,PN-000026
164,PN-000026,COMP-CS-101,2022-10-07,2022-10-21,PN-000026
165,PN-000041,COMP-SEC-505,2021-05-27,2023-08-07,PN-000041
166,PN-000066,COMP-MKT-707,2021-06-25,2023-01-28,PN-000066
167,PN-000070,COMP-HR-808,2024-03-25,2024-12-27,PN-000070
168,PN-000033,COMP-CS-101,2019-10-20,2020-11-14,PN-000033
169,PN-000097,COMP-AI-404,2022-01-05,2024-07-12,PN-000097
170,PN-000037,COMP-FIN-606,2022-07-30,2025-08-13,PN-000037
171,PN-000100,COMP-CS-101,2023-07-13,2024-08-15,PN-000100
172,PN-000084,COMP-FIN-606,2023-11-02,2025-01-18,PN-000084
173,PN-000035,COMP-PM-202,2020-10-25,2022-01-22,PN-000035
174,PN-000048,COMP-MKT-707,2024-06-27,2024-11-16,PN-000048
175,PN-000052,COMP-HR-808,2021-08-02,2024-10-23,PN-000052
176,PN-000050,COMP-FIN-606,2022-04-20,2024-09-10,PN-000050
177,PN-000024,COMP-HR-808,2020-11-25,2023-05-13,PN-000024
178,PN-000089,COMP-HR-808,2020-10-31,2023-04-18,PN-000089
179,PN-000048,COMP-ENG-909,2021-01-04,2022-04-08,PN-000048
180,PN-000035,COMP-PM-202,2020-07-23,2023-09-25,PN-000035
181,PN-000094,COMP-MKT-707,2024-02-29,2025-02-12,PN-000094
182,PN-000011,COMP-MKT-707,2021-12-24,2022-09-22,PN-000011
183,PN-000078,COMP-DS-303,2020-04-30,2022-08-02,PN-000078
184,PN-000070,COMP-SEC-505,2022-03-19,2023-02-04,PN-000070
185,PN-000042,COMP-PM-202,2021-09-27,2024-09-08,PN-000042
186,PN-000011,COMP-FIN-606,2021-07-27,2021-08-23,PN-000011
187,PN-000085,COMP-SEC-505,2020-08-24,2022-10-06,PN-000085
188,PN-000040,COMP-HR-808,2020-05-05,2024-01-08,PN-000040
189,PN-000078,COMP-MKT-707,2021-02-04,2023-09-30,PN-000078
190,PN-000022,COMP-HR-808,2020-12-11,2025-11-12,PN-000022
191,PN-000045,COMP-HR-808,2022-03-08,2023-06-26,PN-000045
192,PN-000006,COMP-FIN-606,2021-08-09,2022-12-01,PN-000006
193,PN-000079,COMP-MKT-707,2020-04-07,2024-04-26,PN-000079
194,PN-000036,COMP-CS-101,2020-10-10,2024-07-27,PN-000036
195,PN-000010,COMP-MKT-707,2024-08-02,2025-06-25,PN-000010
196,PN-000047,COMP-ENG-909,2020-01-12,2024-05-09,PN-000047
197,PN-000096,COMP-DS-303,2020-07-16,2023-09-09,PN-000096
198,PN-000004,COMP-DS-303,2023-06-11,2024-11-24,PN-000004
199,PN-000078,COMP-HR-808,2024-10-06,2025-09-11,PN-000078
200,PN-000005,COMP-DS-303,2020-08-29,2022-07-18,PN-000005
