ID_objektu_(PK),Osobni_cislo,Kod_kvalifikace,Datum_ziskani,personel_number
47,PN-000013,CERT-PM-002,2023-09-20,PN-000013
48,PN-000084,CERT-ENG-009,2021-04-10,PN-000084
49,PN-000093,CERT-AI-004,2024-07-17,PN-000093
50,PN-000056,CERT-HR-008,2024-12-17,PN-000056
51,PN-000030,CERT-MKT-007,2025-10-09,PN-000030
52,PN-000044,CERT-HR-008,2023-07-19,PN-000044
53,PN-000052,CERT-MKT-007,2021-07-05,PN-000052
54,PN-000094,CERT-PM-002,2024-03-07,PN-000094
55,PN-000041,CERT-MKT-007,2025-08-13,PN-000041
56,PN-000041,CERT-SEC-005,2021-09-15,PN-000041
57,PN-000048,CERT-DS-003,2023-07-10,PN-000048
58,PN-000088,CERT-HR-008,2023-12-01,PN-000088
59,PN-000009,CERT-PM-002,2025-09-14,PN-000009
60,PN-000011,CERT-PM-002,2025-07-12,PN-000011
61,PN-000056,CERT-PM-002,2024-08-28,PN-000056
62,PN-000096,CERT-FIN-006,2024-05-01,PN-000096
63,PN-000017,CERT-ENG-009,2024-06-12,PN-000017
64,PN-000008,CERT-LAW-010,2022-11-16,PN-000008
65,PN-000072,CERT-ENG-009,2024-03-29,PN-000072
66,PN-000043,CERT-PM-002,2022-10-01,PN-000043
67,PN-000053,CERT-FIN-006,2025-05-19,PN-000053
68,PN-000086,CERT-MKT-007,2023-02-20,PN-000086
69,PN-000093,CERT-CS-001,2022-02-13,PN-000093
70,PN-000037,CERT-LAW-010,2021-03-14,PN-000037
71,PN-000040,CERT-FIN-006,2020-12-26,PN-000040
72,PN-000014,CERT-LAW-010,2023-08-27,PN-000014
73,PN-000065,CERT-AI-004,2023-10-29,PN-000065
74,PN-000020,CERT-HR-008,2020-12-01,PN-000020
75,PN-000029,CERT-PM-002,2024-06-03,PN-000029
76,PN-000045,CERT-ENG-009,2021-03-05,PN-000045
77,PN-000048,CERT-PM-002,2021-03-21,PN-000048
78,PN-000098,CERT-SEC-005,2021-01-14,PN-000098
79,PN-000074,CERT-AI-004,2022-07-14,PN-000074
80,PN-000055,CERT-ENG-009,2023-06-15,PN-000055
81,PN-000099,CERT-LAW-010,2022-04-10,PN-000099
82,PN-000079,CERT-ENG-009,2023-04-23,PN-000079
83,PN-000004,CERT-LAW-010,2023-07-31,PN-000004
84,PN-000085,CERT-SEC-005,2024-07-01,PN-000085
85,PN-000004,CERT-DS-003,2025-04-18,PN-000004
86,PN-000035,CERT-SEC-005,2023-10-06,PN-000035
87,PN-000044,CERT-FIN-006,2022-02-04,PN-000044
88,PN-000001,CERT-DS-003,2023-04-01,PN-000001
89,PN-000019,CERT-LAW-010,2022-12-01,PN-000019
90,PN-000085,CERT-MKT-007,2021-05-09,PN-000085
91,PN-000009,CERT-DS-003,2024-03-05,PN-000009
92,PN-000095,CERT-CS-001,2022-08-27,PN-000095
93,PN-000012,CERT-ENG-009,2022-12-09,PN-000012
94,PN-000028,CERT-MKT-007,2025-03-15,PN-000028
95,PN-000054,CERT-HR-008,2021-02-24,PN-000054
96,PN-000044,CERT-DS-003,2024-02-24,PN-000044
97,PN-000048,CERT-SEC-005,2024-02-11,PN-000048
98,PN-000093,CERT-FIN-006,2021-03-08,PN-000093
99,PN-000100,CERT-LAW-010,2024-07-10,PN-000100
100,PN-000077,CERT-PM-002,2024-11-19,PN-000077
101,PN-000007,CERT-DS-003,2021-06-05,PN-000007
102,PN-000021,CERT-LAW-010,2021-11-03,PN-000021
103,PN-000007,CERT-PM-002,2023-07-25,PN-000007
104,PN-000035,CERT-HR-008,2021-08-01,PN-000035
105,PN-000085,CERT-MKT-007,2021-10-19,PN-000085
106,PN-000063,CERT-LAW-010,2023-03-13,PN-000063
107,PN-000057,CERT-MKT-007,2025-04-03,PN-000057
108,PN-000035,CERT-AI-004,2021-04-04,PN-000035
109,PN-000097,CERT-ENG-009,2024-12-03,PN-000097
110,PN-000015,CERT-FIN-006,2025-02-28,PN-000015
111,PN-000056,CERT-PM-002,2021-05-15,PN-000056
112,PN-000037,CERT-LAW-010,2024-02-22,PN-000037
113,PN-000063,CERT-ENG-009,2023-08-02,PN-000063
114,PN-000086,CERT-SEC-005,2020-12-14,PN-000086
115,PN-000006,CERT-AI-004,2021-05-07,PN-000006
116,PN-000051,CERT-LAW-010,2024-08-25,PN-000051
117,PN-000008,CERT-CS-001,2022-01-23,PN-000008
118,PN-000027,CERT-SEC-005,2022-11-30,PN-000027
119,PN-000028,CERT-DS-003,2023-04-16,PN-000028
120,PN-000098,CERT-SEC-005,2025-03-16,PN-000098
121,PN-000038,CERT-FIN-006,2025-05-24,PN-000038
122,PN-000016,CERT-CS-001,2021-09-14,PN-000016
123,PN-000064,CERT-MKT-007,2020-11-21,PN-000064
124,PN-000023,CERT-DS-003,2022-11-01,PN-000023
125,PN-000049,CERT-ENG-009,2025-07-07,PN-000049
126,PN-000091,CERT-AI-004,2024-10-22,PN-000091
127,PN-000065,CERT-ENG-009,2022-04-23,PN-000065
128,PN-000086,CERT-FIN-006,2024-05-13,PN-000086
129,PN-000010,CERT-MKT-007,2024-07-14,PN-000010
130,PN-000095,CERT-CS-001,2024-10-19,PN-000095
131,PN-000056,CERT-CS-001,2024-03-11,PN-000056
132,PN-000059,CERT-PM-002,2023-04-26,PN-000059
133,PN-000041,CERT-LAW-010,2021-10-30,PN-000041
134,PN-000055,CERT-LAW-010,2021-12-20,PN-000055
135,PN-000052,CERT-MKT-007,2021-03-04,PN-000052
136,PN-000038,CERT-PM-002,2024-07-24,PN-000038
137,PN-000052,CERT-CS-001,2021-03-09,PN-000052
138,PN-000042,CERT-DS-003,2022-06-13,PN-000042
139,PN-000080,CERT-HR-008,2021-02-17,PN-000080
140,PN-000089,CERT-FIN-006,2023-04-08,PN-000089
141,PN-000012,CERT-MKT-007,2025-06-24,PN-000012
142,PN-000014,CERT-AI-004,2023-07-16,PN-000014
143,PN-000056,CERT-LAW-010,2021-03-01,PN-000056
144,PN-000052,CERT-ENG-009,2023-06-03,PN-000052
145,PN-000011,CERT-MKT-007,2025-02-20,PN-000011
146,PN-000040,CERT-FIN-006,2021-03-23,PN-000040
147,PN-000029,CERT-FIN-006,2021-03-22,PN-000029
148,PN-000100,CERT-DS-003,2025-03-11,PN-000100
149,PN-000010,CERT-ENG-009,2022-11-25,PN-000010
150,PN-000082,CERT-PM-002,2025-08-04,PN-000082
