personal_number,"personal_start_month(2023,2024,2025)",personal_start_month.profession_id,personal_start_month.planned_profession_id,personal_start_month.planned_position_id,personal_start_month.basic_branch_education_group_id,personal_start_month.basic_branch_education_category_id,personal_start_month.field_of_study_id,personal_start_month.field_of_study_name,personal_start_month.field_of_study_code_laps,data_pocet_a_kvalifikace_od_2013_do_srpen_2025,data_metod_aktualizace_do_roku_2025
PN-000067,2025,PROF-634,PL-PROF-766,POS-ANALYST-88,GRP-SCI,CAT-CERTIFICATION,FIELD-8616,Artificial Intelligence,CODE-945-C,Historical qualification data from 2013 to August 2025 for person PN-000067,Automated data synchronization with HR systems
PN-000068,2024,PROF-972,PL-PROF-351,POS-MANAGER-45,GRP-LAW,CAT-GRAD,FIELD-8613,Human Resources,CODE-724-D,Historical qualification data from 2013 to August 2025 for person PN-000068,Automated data synchronization with HR systems
PN-000069,2024,PROF-129,PL-PROF-606,POS-ANALYST-33,GRP-LAW,CAT-GRAD,FIELD-6813,Project Management,CODE-448-C,Historical qualification data from 2013 to August 2025 for person PN-000069,Automated data synchronization with HR systems
PN-000070,2025,PROF-818,PL-PROF-382,POS-SPECIALIST-11,GRP-SCI,CAT-GRAD,FIELD-2402,Data Analytics,CODE-837-D,Historical qualification data from 2013 to August 2025 for person PN-000070,Automated data synchronization with HR systems
PN-000071,2024,PROF-668,PL-PROF-876,POS-ENGINEER-98,GRP-LAW,CAT-CERTIFICATION,FIELD-8342,Computer Science,CODE-195-C,Historical qualification data from 2013 to August 2025 for person PN-000071,Automated data synchronization with HR systems
PN-000072,2023,PROF-514,PL-PROF-808,POS-ENGINEER-49,GRP-SCI,CAT-DOCTORAL,FIELD-8753,Marketing,CODE-643-C,Historical qualification data from 2013 to August 2025 for person PN-000072,Automated data synchronization with HR systems
PN-000073,2024,PROF-863,PL-PROF-663,POS-ANALYST-55,GRP-LAW,CAT-DOCTORAL,FIELD-6023,Project Management,CODE-336-A,Historical qualification data from 2013 to August 2025 for person PN-000073,Automated data synchronization with HR systems
PN-000074,2025,PROF-297,PL-PROF-423,POS-MANAGER-78,GRP-BUS,CAT-GRAD,FIELD-4545,Finance,CODE-383-C,Historical qualification data from 2013 to August 2025 for person PN-000074,Automated data synchronization with HR systems
PN-000075,2023,PROF-952,PL-PROF-298,POS-ANALYST-39,GRP-MED,CAT-GRAD,FIELD-5952,Computer Science,CODE-825-B,Historical qualification data from 2013 to August 2025 for person PN-000075,Automated data synchronization with HR systems
PN-000076,2024,PROF-146,PL-PROF-155,POS-SPECIALIST-47,GRP-BUS,CAT-CERTIFICATION,FIELD-2680,Computer Science,CODE-687-C,Historical qualification data from 2013 to August 2025 for person PN-000076,Automated data synchronization with HR systems
PN-000077,2024,PROF-590,PL-PROF-551,POS-ANALYST-33,GRP-TECH,CAT-DOCTORAL,FIELD-8827,Business Administration,CODE-941-A,Historical qualification data from 2013 to August 2025 for person PN-000077,Automated data synchronization with HR systems
PN-000078,2024,PROF-603,PL-PROF-175,POS-SPECIALIST-90,GRP-TECH,CAT-GRAD,FIELD-3444,Human Resources,CODE-411-A,Historical qualification data from 2013 to August 2025 for person PN-000078,Automated data synchronization with HR systems
PN-000079,2023,PROF-221,PL-PROF-671,POS-CONSULTANT-87,GRP-SCI,CAT-GRAD,FIELD-9561,Artificial Intelligence,CODE-561-D,Historical qualification data from 2013 to August 2025 for person PN-000079,Automated data synchronization with HR systems
PN-000080,2024,PROF-980,PL-PROF-702,POS-CONSULTANT-49,GRP-SCI,CAT-UNDERGRAD,FIELD-2625,Data Analytics,CODE-740-B,Historical qualification data from 2013 to August 2025 for person PN-000080,Automated data synchronization with HR systems
PN-000081,2024,PROF-776,PL-PROF-183,POS-ENGINEER-40,GRP-BUS,CAT-UNDERGRAD,FIELD-3564,Computer Science,CODE-518-D,Historical qualification data from 2013 to August 2025 for person PN-000081,Automated data synchronization with HR systems
PN-000082,2025,PROF-708,PL-PROF-581,POS-ANALYST-14,GRP-BUS,CAT-DOCTORAL,FIELD-5632,Finance,CODE-172-B,Historical qualification data from 2013 to August 2025 for person PN-000082,Automated data synchronization with HR systems
PN-000083,2024,PROF-906,PL-PROF-910,POS-SPECIALIST-94,GRP-BUS,CAT-CERTIFICATION,FIELD-2880,Marketing,CODE-330-B,Historical qualification data from 2013 to August 2025 for person PN-000083,Automated data synchronization with HR systems
PN-000084,2024,PROF-946,PL-PROF-245,POS-MANAGER-17,GRP-BUS,CAT-DOCTORAL,FIELD-5728,Finance,CODE-227-D,Historical qualification data from 2013 to August 2025 for person PN-000084,Automated data synchronization with HR systems
PN-000085,2025,PROF-411,PL-PROF-816,POS-CONSULTANT-44,GRP-SCI,CAT-CERTIFICATION,FIELD-8172,Business Administration,CODE-712-A,Historical qualification data from 2013 to August 2025 for person PN-000085,Automated data synchronization with HR systems
PN-000086,2024,PROF-852,PL-PROF-430,POS-SPECIALIST-42,GRP-TECH,CAT-UNDERGRAD,FIELD-4750,Human Resources,CODE-701-A,Historical qualification data from 2013 to August 2025 for person PN-000086,Automated data synchronization with HR systems
PN-000087,2025,PROF-941,PL-PROF-375,POS-SPECIALIST-15,GRP-BUS,CAT-CERTIFICATION,FIELD-9502,Finance,CODE-384-B,Historical qualification data from 2013 to August 2025 for person PN-000087,Automated data synchronization with HR systems
PN-000088,2025,PROF-546,PL-PROF-750,POS-CONSULTANT-21,GRP-LAW,CAT-DOCTORAL,FIELD-7690,Cybersecurity,CODE-428-A,Historical qualification data from 2013 to August 2025 for person PN-000088,Automated data synchronization with HR systems
PN-000089,2023,PROF-437,PL-PROF-521,POS-CONSULTANT-46,GRP-LAW,CAT-UNDERGRAD,FIELD-8451,Business Administration,CODE-422-C,Historical qualification data from 2013 to August 2025 for person PN-000089,Automated data synchronization with HR systems
PN-000090,2024,PROF-218,PL-PROF-891,POS-CONSULTANT-75,GRP-TECH,CAT-CERTIFICATION,FIELD-7770,Computer Science,CODE-292-C,Historical qualification data from 2013 to August 2025 for person PN-000090,Automated data synchronization with HR systems
PN-000091,2025,PROF-874,PL-PROF-610,POS-CONSULTANT-16,GRP-BUS,CAT-DOCTORAL,FIELD-9998,Electrical Engineering,CODE-394-D,Historical qualification data from 2013 to August 2025 for person PN-000091,Automated data synchronization with HR systems
PN-000092,2025,PROF-596,PL-PROF-224,POS-MANAGER-90,GRP-SCI,CAT-GRAD,FIELD-3594,Project Management,CODE-664-A,Historical qualification data from 2013 to August 2025 for person PN-000092,Automated data synchronization with HR systems
PN-000093,2025,PROF-517,PL-PROF-195,POS-ENGINEER-24,GRP-LAW,CAT-UNDERGRAD,FIELD-3522,Finance,CODE-833-C,Historical qualification data from 2013 to August 2025 for person PN-000093,Automated data synchronization with HR systems
PN-000094,2025,PROF-822,PL-PROF-379,POS-CONSULTANT-71,GRP-LAW,CAT-GRAD,FIELD-8483,Marketing,CODE-248-D,Historical qualification data from 2013 to August 2025 for person PN-000094,Automated data synchronization with HR systems
PN-000095,2023,PROF-713,PL-PROF-620,POS-ENGINEER-18,GRP-MED,CAT-CERTIFICATION,FIELD-6568,Marketing,CODE-373-A,Historical qualification data from 2013 to August 2025 for person PN-000095,Automated data synchronization with HR systems
PN-000096,2024,PROF-843,PL-PROF-405,POS-SPECIALIST-84,GRP-LAW,CAT-GRAD,FIELD-8316,Marketing,CODE-595-C,Historical qualification data from 2013 to August 2025 for person PN-000096,Automated data synchronization with HR systems
PN-000097,2024,PROF-665,PL-PROF-881,POS-SPECIALIST-58,GRP-LAW,CAT-DOCTORAL,FIELD-4090,Data Analytics,CODE-685-D,Historical qualification data from 2013 to August 2025 for person PN-000097,Automated data synchronization with HR systems
PN-000098,2023,PROF-976,PL-PROF-894,POS-CONSULTANT-15,GRP-MED,CAT-CERTIFICATION,FIELD-7246,Artificial Intelligence,CODE-779-B,Historical qualification data from 2013 to August 2025 for person PN-000098,Automated data synchronization with HR systems
PN-000099,2024,PROF-137,PL-PROF-229,POS-SPECIALIST-85,GRP-MED,CAT-UNDERGRAD,FIELD-8213,Business Administration,CODE-638-D,Historical qualification data from 2013 to August 2025 for person PN-000099,Automated data synchronization with HR systems
PN-000100,2023,PROF-839,PL-PROF-247,POS-CONSULTANT-93,GRP-BUS,CAT-UNDERGRAD,FIELD-8692,Project Management,CODE-446-D,Historical qualification data from 2013 to August 2025 for person PN-000100,Automated data synchronization with HR systems
