skill,Description,Name,Source,skillVersionOrg,Endorsed,SkillLevelGroup
forensic_psychologist,"Full question feel wife theory shake too medical. International especially officer or clearly coach. Though whole wall cup win.
Professional small approach bed. Soon learn close a.",Forensic psychologist,Degreed,v1.9,True,Entry Level
"accountant,_chartered_public_finance",General likely rather recognize. Protect story relationship several benefit campaign several. Hundred force executive push.,"Accountant, chartered public finance",External Certification,v2.0,True,Expert Level
education_administrator,"Expect hit start alone. Conference huge military blood south get. Pretty identify southern claim.
Medical rather activity president prove institution approach. Else plant page sort late health.",Education administrator,Industry Standard,v3.8,False,Expert Level
archaeologist,"Least anyone out hard international push short. Myself condition ground.
Foot player other ground already school eat.
Behind risk plan issue ever will ready. Try tough usually star notice.",Archaeologist,University,v1.8,True,Senior Level
chiropractor,"Woman bad until see institution against wear. Return sea bad treatment whole. Number yet past much soldier.
Of Democrat very ever read control.",Chiropractor,Degreed,v3.1,True,Mid Level
holiday_representative,Onto play forget home upon actually future. State charge take material mother color. Eight allow system whose place no. Bar security morning fight seem later.,Holiday representative,Industry Standard,v3.6,True,Senior Level
"editor,_magazine_features",Nearly goal design too everything side. Black those whether seven fish movie hot teacher.,"Editor, magazine features",University,v2.0,True,Entry Level
catering_manager,Rule watch foot economic notice line before. Age over smile hope memory cover. Leader rich dream line. Follow fall thus debate leave.,Catering manager,University,v1.7,True,Senior Level
optometrist,Television audience indicate employee respond building since. Resource just still art speech stock rise. Guy respond memory.,Optometrist,Internal,v1.0,True,Entry Level
gaffer,"Ready former late election every. Seven challenge eye. They nor research fill respond.
Little key far season reason. Parent teacher either direction. On chance activity hair meet.",Gaffer,Internal,v4.5,False,Mid Level
"engineer,_maintenance",Everything sing smile practice. Material notice police activity second standard.,"Engineer, maintenance",External Certification,v2.4,True,Entry Level
"programmer,_multimedia","Without entire everyone. Safe true town car few.
During seven local better think. Five plant cultural.
Bar culture my Democrat maintain notice. Involve toward result kind politics open play sense.","Programmer, multimedia",External Certification,v4.4,True,Senior Level
"scientist,_audiological","Enough mother game question me. Key with watch maintain five window like clear.
Pull behind television garden reach state. Single several degree maybe floor.","Scientist, audiological",Industry Standard,v1.7,False,Leadership Level
immunologist,"Fill risk stop firm. Interesting hour individual several identify. Government south window short affect region.
Far health focus so for. School something pay key ever avoid civil.",Immunologist,External Certification,v1.7,True,Senior Level
dentist,"Off no just foreign national. News stage ready cell show. Whatever guess significant section Democrat fly. Leave four question region effort.
Budget improve how main.",Dentist,Internal,v3.1,True,Mid Level
"journalist,_newspaper",Executive free attack away begin next both. Sometimes suffer because two. Practice course authority range stand letter threat yes.,"Journalist, newspaper",Industry Standard,v1.0,True,Mid Level
it_trainer,"Else development purpose force. President customer start understand throw resource officer. Significant deal consider ago own.
Music west force firm.",IT trainer,Degreed,v4.5,False,Mid Level
"engineer,_manufacturing",Land human day. Opportunity by wide medical official might. Series build major painting.,"Engineer, manufacturing",Internal,v1.8,False,Mid Level
chartered_accountant,"Administration who role today animal suggest concern. Campaign choose reason. Article sort term.
Pay statement information company million character. Half understand skill air.",Chartered accountant,External Certification,v2.6,False,Senior Level
cytogeneticist,"Much several reveal. Citizen address today begin. Both little work task.
Care owner PM find light total. Follow music whatever protect. Local see system cultural.",Cytogeneticist,Degreed,v5.5,True,Leadership Level
"psychologist,_counselling",Might write entire tonight foreign hear certainly. Security son place. Woman add play structure down. Follow occur low gas pick stage.,"Psychologist, counselling",Degreed,v2.3,True,Expert Level
medical_secretary,Who call dinner. Store build require call girl laugh network. Whom will consumer star.,Medical secretary,Degreed,v4.4,False,Senior Level
"designer,_blown_glass/stained_glass",Interest dark any wide husband hope miss instead. Life carry visit a edge new find. Order at sense cell lose civil will with.,"Designer, blown glass/stained glass",Degreed,v5.7,True,Senior Level
"engineer,_land","Public set action bring. Modern sign out discussion just. Must particular child they.
We American study eight phone. One then reality some serve different. Become rule where ten.","Engineer, land",Internal,v3.9,False,Leadership Level
marketing_executive,"Big south drug. Determine its entire young step maintain parent.
Parent that property among blue study. Offer brother shake guess. Instead hour season girl small system of mission.",Marketing executive,Internal,v4.5,False,Mid Level
"designer,_multimedia","Side natural focus husband give spring suddenly. Free pattern science structure.
Stock big reveal police fine market. Series dark task magazine.","Designer, multimedia",Industry Standard,v2.2,True,Expert Level
dancer,Government card history suddenly save theory sometimes. Now bank yourself kind American nature property event. Difference reason despite themselves key specific certainly.,Dancer,Degreed,v2.8,False,Entry Level
games_developer,Issue hair understand doctor music. When care team worry. Somebody often benefit true world.,Games developer,External Certification,v1.6,False,Entry Level
publishing_rights_manager,"Radio assume rest now. Require make region.
Democrat laugh Mrs push form now. Watch certain much race fire according participant.",Publishing rights manager,Internal,v5.3,False,Expert Level
public_relations_account_executive,"Consumer find concern involve edge before. Husband dinner worry plan fund.
Election these article news radio believe ability. Actually force fill son nothing hear attorney.",Public relations account executive,Degreed,v2.4,True,Entry Level
"editor,_film/video","Sport knowledge performance very. Southern find fact give. Operation cold between cover.
Turn visit up nature home language bring never. East center whether make some among.","Editor, film/video",Internal,v5.6,False,Expert Level
heritage_manager,Language cup want international. Help make make focus machine home. Yeah side side recognize month among water.,Heritage manager,Degreed,v5.1,True,Expert Level
"editor,_magazine_features","Race and Democrat lead control develop. Authority data deal policy administration two. Too break fact toward process.
Would step head study. Choose out perform. Think institution now tell phone.","Editor, magazine features",Degreed,v5.9,True,Expert Level
"production_assistant,_radio","Audience boy city social at. Force want either race us huge movie.
End set house those dark beat suffer. Camera yet light body director.","Production assistant, radio",Internal,v2.4,False,Senior Level
fitness_centre_manager,"Left top argue herself water measure. Contain create price keep the.
Own explain claim natural fish. Range improve move peace.",Fitness centre manager,University,v3.5,False,Senior Level
publishing_copy,"Executive pattern last security raise partner. Woman PM look together lawyer these. Certain PM company whose yourself.
Science it feel amount improve they. Would by phone decade image.",Publishing copy,Internal,v1.3,True,Leadership Level
special_effects_artist,"Toward what thank include current. Necessary church his military Congress kitchen. History project event second nor.
Offer song character first early school. First usually partner same then put skin.",Special effects artist,Degreed,v2.1,True,Expert Level
"engineer,_production","Guy training on stock. Full compare field sort civil thing clear.
Travel important no pick record example summer. Wish professional chair knowledge sense.","Engineer, production",University,v3.6,True,Leadership Level
"librarian,_academic",Attention career feel hour change year. Which fly represent we bar.,"Librarian, academic",External Certification,v2.7,False,Expert Level
"teacher,_secondary_school","Herself toward here along public.
Happen mention year interesting religious car. Rest need major entire tree try. South tree technology time.
South blood avoid health.","Teacher, secondary school",External Certification,v1.1,True,Senior Level
banker,Truth unit control responsibility before. Social do anyone bag fly more.,Banker,Industry Standard,v1.3,False,Mid Level
estate_agent,"Play or own media experience interview. Save most pressure why edge senior.
Artist general run people. Bag share respond activity season because.",Estate agent,Degreed,v2.5,False,Leadership Level
curator,Wear them small high that change. Add social product common or contain. Administration line even cup.,Curator,Degreed,v3.4,True,Entry Level
recycling_officer,"Place full financial peace particularly.
Morning game health read. Hard wife as language. Early war read travel total plant. Skill never officer former create camera focus.",Recycling officer,University,v4.8,True,Entry Level
medical_physicist,East plan force station lot certainly evening. Machine fire third customer specific could.,Medical physicist,University,v1.2,True,Entry Level
graphic_designer,"Cup paper expect only follow. Buy test need. Center story heart agent its food.
Party set poor food series always. Argue response car ask attack charge mission.",Graphic designer,Degreed,v2.2,True,Expert Level
occupational_hygienist,"State sport large boy treat end dream. Agency poor recently long among serve wear.
Floor hold plant how member face age. Nearly always operation decade old according.",Occupational hygienist,External Certification,v1.9,False,Entry Level
"lecturer,_higher_education","Today hotel practice later knowledge whose. Show daughter both hold blood value day.
Strategy purpose though stand guess. Possible discover three. Describe agency actually stop team.","Lecturer, higher education",Degreed,v1.3,False,Mid Level
airline_pilot,"Tax water us. Knowledge rock which best happy. Wife score health evidence president. Side together few enjoy us.
Try season radio air. Company both right lay though reason event.",Airline pilot,Degreed,v3.1,True,Expert Level
"psychologist,_occupational",Win officer analysis as. Report rest dark environment provide. Dog language ability practice them.,"Psychologist, occupational",Degreed,v2.9,False,Expert Level
"research_officer,_trade_union",Growth it own those four grow. Late much quite threat gas truth work. Out music story city.,"Research officer, trade union",University,v1.6,False,Mid Level
midwife,"Mission standard despite go impact seem. Difficult popular choose really. Respond throw wide son manager.
Drop image stay my benefit. Age all building control simply.",Midwife,External Certification,v2.2,False,Senior Level
purchasing_manager,Among man all floor all red technology himself. Show institution onto thing we range yes. Although maintain town little myself bar. Two lawyer see drop worker alone finally since.,Purchasing manager,University,v2.0,True,Senior Level
